IndicatorCode,Indicator,ValueType,ParentLocationCode,ParentLocation,Location type,SpatialDimValueCode,Location,Region,Period type,Period,IsLatestYear,Dim1 type,Dim1,Dim1ValueCode,Dim2 type,Dim2,Dim2ValueCode,Dim3 type,Dim3,Dim3ValueCode,DataSourceDimValueCode,DataSource,FactValueNumericPrefix,FactValueNumeric,FactValueUoM,FactValueNumericLowPrefix,FactValueNumericLow,FactValueNumericHighPrefix,FactValueNumericHigh,Value,FactValueTranslationID,FactComments,Language,DateModified
NCD_CCS_OBES_MGMT_GUIDE,Existence of evidence-based national guidelines/protocols/standards for the management of overweight/obesity,text,EUR,Europe,Country,ALB,Albania,Southern Europe,Year,2021,TRUE,,,,,,,,,,,,,,,,,,,Yes,364,,EN,2022-04-24T16:00:00.000Z
NCD_CCS_OBES_MGMT_GUIDE,Existence of evidence-based national guidelines/protocols/standards for the management of overweight/obesity,text,EUR,Europe,Country,AND,Andorra,Southern Europe,Year,2021,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2022-04-24T16:00:00.000Z
NCD_CCS_OBES_MGMT_GUIDE,Existence of evidence-based national guidelines/protocols/standards for the management of overweight/obesity,text,AMR,Americas,Country,ECU,Ecuador,,Year,2021,TRUE,,,,,,,,,,,,,,,,,,,Don't know,869,,EN,2022-04-24T16:00:00.000Z
NCD_CCS_OBES_MGMT_GUIDE,Existence of evidence-based national guidelines/protocols/standards for the management of overweight/obesity,text,EMR,Eastern Mediterranean,Country,EGY,Egypt,,Year,2021,TRUE,,,,,,,,,,,,,,,,,,,Don't know,869,,EN,2022-04-24T16:00:00.000Z
NCD_CCS_OBES_MGMT_GUIDE,Existence of evidence-based national guidelines/protocols/standards for the management of overweight/obesity,text,AMR,Americas,Country,TTO,Trinidad and Tobago,,Year,2021,TRUE,,,,,,,,,,,,,,,,,,,Don't know,869,,EN,2022-04-24T16:00:00.000Z
NCD_CCS_OBES_MGMT_GUIDE,Existence of evidence-based national guidelines/protocols/standards for the management of overweight/obesity,text,AMR,Americas,Country,USA,United States of America,,Year,2021,TRUE,,,,,,,,,,,,,,,,,,,Don't know,869,,EN,2022-04-24T16:00:00.000Z
NCD_CCS_OBES_MGMT_GUIDE,Existence of evidence-based national guidelines/protocols/standards for the management of overweight/obesity,text,AFR,Africa,Country,ZMB,Zambia,,Year,2021,TRUE,,,,,,,,,,,,,,,,,,,Don't know,869,,EN,2022-04-24T16:00:00.000Z
NCD_CCS_OBES_MGMT_GUIDE,Existence of evidence-based national guidelines/protocols/standards for the management of overweight/obesity,text,EMR,Eastern Mediterranean,Country,AFG,Afghanistan,,Year,2021,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2022-04-24T16:00:00.000Z
NCD_CCS_OBES_MGMT_GUIDE,Existence of evidence-based national guidelines/protocols/standards for the management of overweight/obesity,text,AFR,Africa,Country,DZA,Algeria,,Year,2021,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2022-04-24T16:00:00.000Z
NCD_CCS_OBES_MGMT_GUIDE,Existence of evidence-based national guidelines/protocols/standards for the management of overweight/obesity,text,EUR,Europe,Country,ARM,Armenia,Eastern Europe,Year,2021,TRUE,,,,,,,,,,,,,,,,,,,Yes,364,,EN,2022-04-24T16:00:00.000Z
NCD_CCS_OBES_MGMT_GUIDE,Existence of evidence-based national guidelines/protocols/standards for the management of overweight/obesity,text,AFR,Africa,Country,AGO,Angola,,Year,2021,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2022-04-24T16:00:00.000Z
NCD_CCS_OBES_MGMT_GUIDE,Existence of evidence-based national guidelines/protocols/standards for the management of overweight/obesity,text,AMR,Americas,Country,ATG,Antigua and Barbuda,,Year,2021,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2022-04-24T16:00:00.000Z
NCD_CCS_OBES_MGMT_GUIDE,Existence of evidence-based national guidelines/protocols/standards for the management of overweight/obesity,text,EUR,Europe,Country,AUT,Austria,Western Europe,Year,2021,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2022-04-24T16:00:00.000Z
NCD_CCS_OBES_MGMT_GUIDE,Existence of evidence-based national guidelines/protocols/standards for the management of overweight/obesity,text,EUR,Europe,Country,AZE,Azerbaijan,Eastern Europe,Year,2021,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2022-04-24T16:00:00.000Z
NCD_CCS_OBES_MGMT_GUIDE,Existence of evidence-based national guidelines/protocols/standards for the management of overweight/obesity,text,AMR,Americas,Country,BHS,Bahamas,,Year,2021,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2022-04-24T16:00:00.000Z
NCD_CCS_OBES_MGMT_GUIDE,Existence of evidence-based national guidelines/protocols/standards for the management of overweight/obesity,text,SEAR,South-East Asia,Country,BGD,Bangladesh,,Year,2021,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2022-04-24T16:00:00.000Z
NCD_CCS_OBES_MGMT_GUIDE,Existence of evidence-based national guidelines/protocols/standards for the management of overweight/obesity,text,AMR,Americas,Country,BRB,Barbados,,Year,2021,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2022-04-24T16:00:00.000Z
NCD_CCS_OBES_MGMT_GUIDE,Existence of evidence-based national guidelines/protocols/standards for the management of overweight/obesity,text,AMR,Americas,Country,BLZ,Belize,,Year,2021,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2022-04-24T16:00:00.000Z
NCD_CCS_OBES_MGMT_GUIDE,Existence of evidence-based national guidelines/protocols/standards for the management of overweight/obesity,text,AFR,Africa,Country,BEN,Benin,,Year,2021,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2022-04-24T16:00:00.000Z
NCD_CCS_OBES_MGMT_GUIDE,Existence of evidence-based national guidelines/protocols/standards for the management of overweight/obesity,text,AMR,Americas,Country,BOL,Bolivia (Plurinational State of),,Year,2021,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2022-04-24T16:00:00.000Z
NCD_CCS_OBES_MGMT_GUIDE,Existence of evidence-based national guidelines/protocols/standards for the management of overweight/obesity,text,AFR,Africa,Country,BWA,Botswana,,Year,2021,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2022-04-24T16:00:00.000Z
NCD_CCS_OBES_MGMT_GUIDE,Existence of evidence-based national guidelines/protocols/standards for the management of overweight/obesity,text,AFR,Africa,Country,BFA,Burkina Faso,,Year,2021,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2022-04-24T16:00:00.000Z
NCD_CCS_OBES_MGMT_GUIDE,Existence of evidence-based national guidelines/protocols/standards for the management of overweight/obesity,text,AFR,Africa,Country,BDI,Burundi,,Year,2021,TRUE,,,,,,,,,,,,,,,,,,,No,823,,EN,2022-04-24T16:00:00.000Z
